,Renoir,Matisse,Pissarro,Hassam,VanGogh,Sargent,Degas,Monet,Gauguin,Cezanne,accuracy,macro avg,weighted avg
precision,0.32558139534883723,0.4375,0.4368932038834951,0.25,0.46511627906976744,0.5245901639344263,0.31683168316831684,0.39325842696629215,0.3089430894308943,0.2727272727272727,0.35555555555555557,0.37314415145293023,0.3731441514529301
recall,0.5656565656565656,0.42424242424242425,0.45454545454545453,0.3434343434343434,0.20202020202020202,0.32323232323232326,0.32323232323232326,0.35353535353535354,0.3838383838383838,0.18181818181818182,0.35555555555555557,0.3555555555555555,0.35555555555555557
f1-score,0.4132841328413284,0.43076923076923074,0.4455445544554455,0.28936170212765955,0.2816901408450704,0.4000000000000001,0.32,0.3723404255319149,0.3423423423423424,0.21818181818181817,0.35555555555555557,0.351351434709481,0.351351434709481
support,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.35555555555555557,990.0,990.0
