,filename,width,height
159,dog_0039._slice4.jpg,200,180
160,dog_0040._slice1.jpg,133,169
161,dog_0040._slice2.jpg,133,169
162,dog_0040._slice3.jpg,133,169
163,dog_0040._slice4.jpg,133,169
164,dog_0041._slice1.jpg,230,176
165,dog_0041._slice2.jpg,230,176
166,dog_0041._slice3.jpg,230,176
167,dog_0041._slice4.jpg,230,176
168,dog_0042._slice1.jpg,85,200
169,dog_0042._slice2.jpg,85,200
170,dog_0042._slice3.jpg,85,200
171,dog_0042._slice4.jpg,85,200
172,dog_0043._slice1.jpg,109,103
173,dog_0043._slice2.jpg,109,103
174,dog_0043._slice3.jpg,109,103
175,dog_0043._slice4.jpg,109,103
176,dog_0044._slice1.jpg,132,169
177,dog_0044._slice2.jpg,132,169
178,dog_0044._slice3.jpg,132,169
179,dog_0044._slice4.jpg,132,169
180,dog_0045._slice1.jpg,225,169
181,dog_0045._slice2.jpg,225,169
182,dog_0045._slice3.jpg,225,169
183,dog_0045._slice4.jpg,225,169
184,dog_0046._slice1.jpg,119,183
185,dog_0046._slice2.jpg,119,183
186,dog_0046._slice3.jpg,119,183
187,dog_0046._slice4.jpg,119,183
188,dog_0047._slice1.jpg,78,120
189,dog_0047._slice2.jpg,78,120
190,dog_0047._slice3.jpg,78,120
191,dog_0047._slice4.jpg,78,120
192,dog_0048._slice1.jpg,129,158
193,dog_0048._slice2.jpg,129,158
194,dog_0048._slice3.jpg,129,158
195,dog_0048._slice4.jpg,129,158
196,dog_0049._slice1.jpg,175,155
197,dog_0049._slice2.jpg,175,155
198,dog_0049._slice3.jpg,175,155
199,dog_0049._slice4.jpg,175,155
200,dog_0050._slice1.jpg,119,165
201,dog_0050._slice2.jpg,119,165
202,dog_0050._slice3.jpg,119,165
203,dog_0050._slice4.jpg,119,165
204,dog_0051._slice1.jpg,99,120
205,dog_0051._slice2.jpg,99,120
206,dog_0051._slice3.jpg,99,120
207,dog_0051._slice4.jpg,99,120
208,dog_0052._slice1.jpg,191,193
209,dog_0052._slice2.jpg,191,193
210,dog_0052._slice3.jpg,191,193
211,dog_0052._slice4.jpg,191,193
212,dog_0053._slice1.jpg,144,184
213,dog_0053._slice2.jpg,144,184
214,dog_0053._slice3.jpg,144,184
215,dog_0053._slice4.jpg,144,184
216,dog_0054._slice1.jpg,28,25
217,dog_0054._slice2.jpg,28,25
218,dog_0054._slice3.jpg,28,25
219,dog_0054._slice4.jpg,28,25
220,dog_0055._slice1.jpg,246,184
221,dog_0055._slice2.jpg,246,184
222,dog_0055._slice3.jpg,246,184
223,dog_0055._slice4.jpg,246,184
224,dog_0056._slice1.jpg,147,196
225,dog_0056._slice2.jpg,147,196
226,dog_0056._slice3.jpg,147,196
227,dog_0056._slice4.jpg,147,196
228,dog_0057._slice1.jpg,223,170
229,dog_0057._slice2.jpg,223,170
230,dog_0057._slice3.jpg,223,170
231,dog_0057._slice4.jpg,223,170
232,dog_0058._slice1.jpg,69,116
233,dog_0058._slice2.jpg,69,116
234,dog_0058._slice3.jpg,69,116
